Site,lon,lat,Species,AVSST,AVKD,AVFetch
PB10,172.914343,-43.650323,E. radiata,19,0.1,4.459826326
PB10,172.914343,-43.650323,M. pyrifera,19,0.1,4.459826326
PB10,172.914343,-43.650323,U. pinnatifida,19,0.1,4.459826326
PB11,172.917545,-43.641734,C. flexuosum,19,0.1,8.359399124
PB11,172.917545,-43.641734,C. maschalocarpum,19,0.1,8.359399124
PB11,172.917545,-43.641734,E. radiata,19,0.1,8.359399124
PB11,172.917545,-43.641734,M. pyrifera,19,0.1,8.359399124
PB11,172.917545,-43.641734,U. pinnatifida,19,0.1,8.359399124
PL02,172.8290112,-43.6170158,C. flexuosum,18,0.1,26.10793431
PL02,172.8290112,-43.6170158,C. maschalocarpum,18,0.1,26.10793431
PL02,172.8290112,-43.6170158,E. radiata,18,0.1,26.10793431
PL02,172.8290112,-43.6170158,M. pyrifera,18,0.1,26.10793431
PL02,172.8290112,-43.6170158,U. pinnatifida,18,0.1,26.10793431
PL03,172.8272536,-43.6271162,C. flexuosum,18,0.15,11.28959615
PL03,172.8272536,-43.6271162,C. maschalocarpum,18,0.15,11.28959615
PL03,172.8272536,-43.6271162,E. radiata,18,0.15,11.28959615
PL03,172.8272536,-43.6271162,M. pyrifera,18,0.15,11.28959615
PL03,172.8272536,-43.6271162,U. pinnatifida,18,0.15,11.28959615
PL14,172.8394938,-43.6290343,C. flexuosum,18,0.15,5.28447025
PL14,172.8394938,-43.6290343,C. maschalocarpum,18,0.15,5.28447025
PL14,172.8394938,-43.6290343,E. radiata,18,0.15,5.28447025
PL14,172.8394938,-43.6290343,M. pyrifera,18,0.15,5.28447025
PL14,172.8394938,-43.6290343,U. pinnatifida,18,0.15,5.28447025
PL16,172.8450911,-43.6160304,C. flexuosum,18,0.1,9.058177516
PL16,172.8450911,-43.6160304,C. maschalocarpum,18,0.1,9.058177516
PL16,172.8450911,-43.6160304,E. radiata,18,0.1,9.058177516
PL16,172.8450911,-43.6160304,M. pyrifera,18,0.1,9.058177516
PL16,172.8450911,-43.6160304,U. pinnatifida,18,0.1,9.058177516
